passport_id,owner_address,signer_address,ens_name,voting_escrow
32,0x2c1fe28d9025c436fa9332bbcb3065d9108106bb,0x2c1fe28d9025c436fa9332bbcb3065d9108106bb,,0.77
33,0xe1b1afe9cba5ad5b960584e3de7d20cbda4c184e,0xe1b1afe9cba5ad5b960584e3de7d20cbda4c184e,charlesgu.eth,0.77
34,0x200b5f0de160646cbb988e2d9c4602779bc12681,0x200b5f0de160646cbb988e2d9c4602779bc12681,,1.17
35,0x40f51eb502ac737b4874925feac8c970f9b01f74,0x40f51eb502ac737b4874925feac8c970f9b01f74,ziggy78.eth,0.83
36,0xd153751acdbb6c2c7645671dcc2cef98a83f5327,0xd153751acdbb6c2c7645671dcc2cef98a83f5327,0ak.eth,1.19
37,0xe6773707b3c094fe29ddaaa251b173eb9a03574a,0xe6773707b3c094fe29ddaaa251b173eb9a03574a,00512.eth,0.95
38,0xdaf3f7f611efa83033155d23c3ebc5b52ddbaebb,0x62b4a2a1c90390cf172d3625b7fd3fb659078595,,1.12
39,0x222eef670389407353f536662aea3c4eafd7b0a5,0x222eef670389407353f536662aea3c4eafd7b0a5,ringo.eth,0.81
40,0x9ee4ca177d4c499e4640a9439de7174594b1cd9e,0x9ee4ca177d4c499e4640a9439de7174594b1cd9e,,0.94
41,0x5d07a2fd6bd208fcba0fd0513bbaf6ec2730af40,0x5d07a2fd6bd208fcba0fd0513bbaf6ec2730af40,,1.76
42,0x8bf1e340055c7de62f11229a149d3a1918de3d74,0x8bf1e340055c7de62f11229a149d3a1918de3d74,juar.eth,4.68
43,0x327b0c1ecd110651dc9994b6764b695c9cdc29ba,0x460af11e497dc273fc163414943c6fd95d17b1fd,luisc.eth,1.08
44,0x008c65dec50c84a6118642b5a0a8c5d75582c7ca,0x008c65dec50c84a6118642b5a0a8c5d75582c7ca,,0.78
45,0x7e3b0829476b32578a5d5fcebc7c2591b2e43758,0x7e3b0829476b32578a5d5fcebc7c2591b2e43758,tokengogo.eth,1.04
46,0x7b3b868cf92bf6bca3d91949286345639c340617,0x7b3b868cf92bf6bca3d91949286345639c340617,,1.22
47,0x44b51db19cc008ff07a4f7da03d6df11c74c6112,0x44b51db19cc008ff07a4f7da03d6df11c74c6112,savejusticedao.eth,0.92
48,0xeba5a44937596429d8a8fc117fb6e514783bd7e9,0xeba5a44937596429d8a8fc117fb6e514783bd7e9,solnfttrade.eth,1.30
49,0x84837167155c104e0dd9d4be8557fb5d4160dd81,0x84837167155c104e0dd9d4be8557fb5d4160dd81,misslida.eth,1.58
50,0x33a170b618855ad78117d997af009e8e16dcc7d6,0x33a170b618855ad78117d997af009e8e16dcc7d6,,1.11
51,0x36e9a9184787346215f8b41cc4c1cf75c3df14ce,0x36e9a9184787346215f8b41cc4c1cf75c3df14ce,panghu233.eth,1.35
52,0x978452c747ee0b617285caf3c50cae0103af5656,0x978452c747ee0b617285caf3c50cae0103af5656,,2.59
53,0x5a6d32dd7f169fae453e0f0866e5b8334f66889a,0x5a6d32dd7f169fae453e0f0866e5b8334f66889a,upman.eth,0.92
54,0x186bad94057591918c3265c4ddb12874324be8ac,0x186bad94057591918c3265c4ddb12874324be8ac,dashuo.eth,0.94
55,0x3c9cfef0f5bbc4b1936bb1785ec485e56ca6f6ba,0x3c9cfef0f5bbc4b1936bb1785ec485e56ca6f6ba,,1.13
56,0xf4b2eca9c0e8f40c70ea1dc5a6076891cafd3f10,0xf4b2eca9c0e8f40c70ea1dc5a6076891cafd3f10,cryptomole.eth,0.77
57,0xa67b181369939629495d6c36750ba5e8d7a62323,0xa67b181369939629495d6c36750ba5e8d7a62323,28886.eth,1.36
58,0x5f33734d47761b1578f20808714adf2a669d23a8,0x5f33734d47761b1578f20808714adf2a669d23a8,,1.02
59,0x0d75363981488f3376fdce70fb5a6dd47c1ed935,0x0d75363981488f3376fdce70fb5a6dd47c1ed935,,0.94
60,0xb879be7af16a8c721ba381487627488b14519abc,0xb879be7af16a8c721ba381487627488b14519abc,,1.24
61,0x9fb203e1542a488f685f0085100660c7273cfd5b,0x9fb203e1542a488f685f0085100660c7273cfd5b,hammersickle.eth,0.90
62,0x78b027de4c6211e0f958c986135fefcc31b7c4a1,0x78b027de4c6211e0f958c986135fefcc31b7c4a1,oneday-a8.eth,0.94
63,0x7a43c0f2f3f7ec470d200295f72292c98fd55307,0x7a43c0f2f3f7ec470d200295f72292c98fd55307,,1.26
64,0x5e1c3834d5200fec3e01a51ccb70f6f00a2418aa,0x5e1c3834d5200fec3e01a51ccb70f6f00a2418aa,,0.84
65,0xe25b7ef2ebf5fc9826229533146f3817422f3b67,0xe25b7ef2ebf5fc9826229533146f3817422f3b67,minxu.eth,0.82
66,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,0.00
67,0xca933e8a503e33be92a209d3abdee69ee747f019,0xca933e8a503e33be92a209d3abdee69ee747f019,,1.19
68,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,0.00
69,0x39a3fba9bfdd5f0fc7e83a9cd32c9fa425a40c80,0x39a3fba9bfdd5f0fc7e83a9cd32c9fa425a40c80,,1.14
70,0x9151d344acab2dd9ccc40ae15b2963148edf18ee,0x9151d344acab2dd9ccc40ae15b2963148edf18ee,,0.80
71,0xc9fcb06bf27293b10303b00ffa05adb63bf9b73b,0xc9fcb06bf27293b10303b00ffa05adb63bf9b73b,alielie.eth,1.13
72,0xe28b3058a2f7f251741a7289b633a902126260ea,0xe28b3058a2f7f251741a7289b633a902126260ea,lik33.eth,0.92
73,0xea304a0d0e23a2bc5ffc48c8e841c11d71687c8c,0xea304a0d0e23a2bc5ffc48c8e841c11d71687c8c,820819.eth,1.00
74,0xaa4197c2efcf7cc9919d582c9246237ebc4209d2,0xaa4197c2efcf7cc9919d582c9246237ebc4209d2,bigpolarbear.eth,1.04
75,0x2dea8f1662a0a64058971b4b9eb0a2fbe1dfc1e6,0x2dea8f1662a0a64058971b4b9eb0a2fbe1dfc1e6,time12.eth,1.41
76,0xd1e8487e49cc24a4879dcabbc946ab99489fa997,0xd1e8487e49cc24a4879dcabbc946ab99489fa997,fuckgabrielshipton.eth,0.92
77,0x29a4cf905fd5b4c24e488c25bc02078e08ba2268,0x29a4cf905fd5b4c24e488c25bc02078e08ba2268,fuckusdollar.eth,0.92
78,0x8c14d46c920c877d296aaf34f5fc65ff6d8c01cf,0x8c14d46c920c877d296aaf34f5fc65ff6d8c01cf,shep.eth,0.82
79,0x01b009add41b107411266248ece40b0f3f98a413,0x01b009add41b107411266248ece40b0f3f98a413,,1.12
80,0x29fe8aa2798116332bc9a9dfac9a0072ad7c4196,0x29fe8aa2798116332bc9a9dfac9a0072ad7c4196,alicegame.eth,0.94
81,0x751893105b1ece3b7feda367b92cd1bcf2abd673,0x751893105b1ece3b7feda367b92cd1bcf2abd673,,0.86
82,0x1c208fcb9d15e0e04a0a579e0f6121e2057ff7f6,0x1c208fcb9d15e0e04a0a579e0f6121e2057ff7f6,ooplay.eth,1.05
83,0xcbd0b5491d4fd378d8a3261bfd8f321af63659f6,0xcbd0b5491d4fd378d8a3261bfd8f321af63659f6,,0.92
84,0xc10c4dd2b2d51c575810beef45a033c96a3be1ba,0xc10c4dd2b2d51c575810beef45a033c96a3be1ba,,0.82
85,0x1fc1d46d195a8649adb5188a2506fa62e07d0654,0x1fc1d46d195a8649adb5188a2506fa62e07d0654,eth520.eth,0.86
86,0xabf26352aadaaa1cabffb3a55e378bac6bf15791,0xabf26352aadaaa1cabffb3a55e378bac6bf15791,dexbank.eth,1.21
87,0x36aa46e405d2a605cb0bd6b15476fcb2a3dfc1b2,0xc065f5d649cdbe291f67d282b31e49eefa17ef11,polkadotwallet.eth,0.98
88,0x701d7ec468a8ff9bd4b76be049e40cab79fb3310,0x701d7ec468a8ff9bd4b76be049e40cab79fb3310,tooz.eth,0.75
89,0x5df52e6b70f25919ad29add390efe2614f91b2c6,0x5df52e6b70f25919ad29add390efe2614f91b2c6,not.eth,0.86
90,0xc8d4a8970035f9f3fd01dbd238c97b5348aa3199,0xc8d4a8970035f9f3fd01dbd238c97b5348aa3199,,0.85
91,0x6b2b69c6e5490be701abfbfa440174f808c1a33b,0x6b2b69c6e5490be701abfbfa440174f808c1a33b,izqui.eth,0.35
92,0xbfa43bf6e9fb6d5cc253ff23c31f2b86a739bb98,0xbfa43bf6e9fb6d5cc253ff23c31f2b86a739bb98,0xruby.eth,0.80
93,0x25ad71e78af2b33b3aeb2573c1df93aa078a6216,0x25ad71e78af2b33b3aeb2573c1df93aa078a6216,brayton.eth,0.82
94,0xc6034fb18abb066605c5d9a45039664f2b95eeb0,0xc6034fb18abb066605c5d9a45039664f2b95eeb0,zerometa.eth,1.19
95,0xdc260da83cd84772e3bc12de2066aff673e0b654,0xdc260da83cd84772e3bc12de2066aff673e0b654,,0.83
96,0x0b42185d8b613af51ce1bf1e0992dd00ef893089,0x0b42185d8b613af51ce1bf1e0992dd00ef893089,,0.84
97,0x39978cc40e2d1d7e127050bdfffbb0dfcfaebad0,0x39978cc40e2d1d7e127050bdfffbb0dfcfaebad0,wuye.eth,0.77
98,0x61751bc401f4eabe10a238661b4a60ba84910059,0x61751bc401f4eabe10a238661b4a60ba84910059,anychain.eth,0.83
99,0x8e9f36ce580ca12d96e112aa1ad5058610ce752f,0x8e9f36ce580ca12d96e112aa1ad5058610ce752f,,0.84
100,0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,0xphoenix.eth,0.92
101,0xaf4807d083287f205d897e6d00c6fde1bf0a241a,0xaf4807d083287f205d897e6d00c6fde1bf0a241a,wilsonng.eth,0.84
102,0xa51b7d35376809156528108e6c2e2f200a24fd42,0xa51b7d35376809156528108e6c2e2f200a24fd42,icangpin.eth,0.99
103,0x42b39b6a479159749ab9b5c6681db69d41b12a52,0x42b39b6a479159749ab9b5c6681db69d41b12a52,,0.77
104,0x78336f51daa5cfd03a1c3e4a76f88cc0818a60d9,0x78336f51daa5cfd03a1c3e4a76f88cc0818a60d9,,0.84
105,0xb23e8c29a9cc468ba60e0438233398bdb64a6897,0xb23e8c29a9cc468ba60e0438233398bdb64a6897,,0.77
106,0xddf767f258adf0af89896621349cadcf8722f771,0xddf767f258adf0af89896621349cadcf8722f771,330eth.eth,0.97
107,0xeb8b597fbed029083dfa2c449e32d9560e8591d3,0xeb8b597fbed029083dfa2c449e32d9560e8591d3,d0001.eth,0.92
108,0xd15b5fa5370f0c3cc068f107b7691e6dab678799,0xd15b5fa5370f0c3cc068f107b7691e6dab678799,,1.24
109,0x2337f09ef3192aebd8477cdc34d029804f7edb92,0x2337f09ef3192aebd8477cdc34d029804f7edb92,luka077.eth,0.84
110,0x8c9c8a244c71a23b45ebbdd9d881afe993d5b13d,0x8c9c8a244c71a23b45ebbdd9d881afe993d5b13d,afurmanczyk.eth,1.58
111,0xad9f9194c68bd83250a534a7da574687e1f102ff,0xad9f9194c68bd83250a534a7da574687e1f102ff,,0.83
112,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,0.00
113,0xf3fb852a7a9486201b28311ba316721f04d2690e,0xf3fb852a7a9486201b28311ba316721f04d2690e,kike.eth,0.93
114,0x547a6cc3fcc6f330194bb216a8bc5bd7a41309d4,0x547a6cc3fcc6f330194bb216a8bc5bd7a41309d4,terranullius.eth,0.87
115,0xe10c11130a43d2e361cdafe0ca3531fa149d87d4,0xe10c11130a43d2e361cdafe0ca3531fa149d87d4,,0.83
116,0x8e6d23050db78798c682a05393c881f8e6b76ea3,0x8e6d23050db78798c682a05393c881f8e6b76ea3,ruiyandou.eth,0.99
117,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,0.00
118,0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,pipilu.eth,0.92
119,0x3b8ef2bc9c975ead87fe2708e38acca7be98df7f,0x3b8ef2bc9c975ead87fe2708e38acca7be98df7f,wninny.eth,0.92
120,0xca48be2cee86c3c1c9775b40cc20bd7fdcbef436,0xca48be2cee86c3c1c9775b40cc20bd7fdcbef436,malatang.eth,0.83
121,0xc36edf48e21cf395b206352a1819de658fd7f988,0xc36edf48e21cf395b206352a1819de658fd7f988,ecdsa.eth,1.00
122,0xd19762943d1028b19626116c6d11482a79b65374,0xd19762943d1028b19626116c6d11482a79b65374,,0.87
123,0xed308a08b051da28d59606d9dd9a3dced7ad188c,0xed308a08b051da28d59606d9dd9a3dced7ad188c,tobebetter.eth,0.98
124,0xcc5b73e4dae936f3bd830f048303c076eae3edf9,0xcc5b73e4dae936f3bd830f048303c076eae3edf9,mycadillac.eth,1.07
125,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,0.00
126,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,0.00
127,0x3316263c19bed1a29a88f3d7f8e95b15eae9a385,0x3316263c19bed1a29a88f3d7f8e95b15eae9a385,dysthymia.eth,0.80
128,0xafa677370f7196d186fb596c6c5000e5255eec3c,0xafa677370f7196d186fb596c6c5000e5255eec3c,hi168.eth,0.77
129,0xc6be0269802c219fa41cd93565410413025167b8,0xc6be0269802c219fa41cd93565410413025167b8,,0.99
130,0xba68fbc460883ec7ae7309bbbbe441764cd0d35f,0xba68fbc460883ec7ae7309bbbbe441764cd0d35f,,0.93
131,0xfafda3727fe0406e50230bf6092be5ded68cd9e9,0xc6dc43634bbc028eebbffd909c9ac9f5796258a7,,9.27
132,0x319e8bcd816478270e0698c251e5bbbfb4928b60,0x319e8bcd816478270e0698c251e5bbbfb4928b60,mdmdiidbs.eth,1.34
133,0x0e2647941fa962994ef498167cb0684d20e0edc9,0x0e2647941fa962994ef498167cb0684d20e0edc9,saveassangedao.eth,0.92
134,0xceb23ca0e5882cc4b00f4ab400317c874cd66a08,0xceb23ca0e5882cc4b00f4ab400317c874cd66a08,vuittonbull.eth,1.33
135,0x2ee5d983ef15fff984fbe216bbebf520c2635190,0x2ee5d983ef15fff984fbe216bbebf520c2635190,xiaoyaoke.eth,0.77
136,0x485f5085e17b96ca00a6d4c14a6c126ca5b14649,0x485f5085e17b96ca00a6d4c14a6c126ca5b14649,,0.92
137,0xe6c486eb5f5cc2c64b53ab6c3942986d648c9b89,0xe6c486eb5f5cc2c64b53ab6c3942986d648c9b89,czizzy.eth,0.78
138,0xa37271736c9d3e27a65d75b3839bf3638191c1fc,0xa37271736c9d3e27a65d75b3839bf3638191c1fc,,0.92
139,0x5c5b26903456b6e357004f73f0e183dc4f0d21da,0x5c5b26903456b6e357004f73f0e183dc4f0d21da,jewsonmolorom.eth,1.40
140,0x949b82dfc04558bc4d3ca033a1b194915a3a3bee,0x949b82dfc04558bc4d3ca033a1b194915a3a3bee,zhangbx.eth,0.77
141,0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,,0.77
142,0xbd1ef9f9c500aa2828b918a769b03f18c3d5545f,0xbd1ef9f9c500aa2828b918a769b03f18c3d5545f,lrochat.eth,0.86
143,0x08b296a897b1c8a033066a34dfde80c66a825d7b,0x08b296a897b1c8a033066a34dfde80c66a825d7b,refibank.eth,0.96
144,0xcc016888627f58d784a0be6e62d159adf8057d71,0xcc016888627f58d784a0be6e62d159adf8057d71,xiaobaitu.eth,0.77
145,0x4761d299899cbfd0ad2419c38922a148a6c64254,0x4761d299899cbfd0ad2419c38922a148a6c64254,,0.82
146,0x4edec396db3a5c7b29277018784c3eda83688fd9,0x4edec396db3a5c7b29277018784c3eda83688fd9,tonym.eth,0.77
147,0xcdb1f3e47a0f58920d22e82fad9d3eb4784a466e,0xcdb1f3e47a0f58920d22e82fad9d3eb4784a466e,people2021.eth,0.81
148,0x5a9e91b826be005b2613441de1f2d9cfcd8b1fad,0x5a9e91b826be005b2613441de1f2d9cfcd8b1fad,xyxno1.eth,0.80
149,0x6bb6c0be4847e1432130353af693e33c66778f3e,0x6bb6c0be4847e1432130353af693e33c66778f3e,alanxing.eth,1.15
150,0x9842621d0bcf1b05dce353ce149bdeea98bac6ee,0x9842621d0bcf1b05dce353ce149bdeea98bac6ee,wayben.eth,0.92
151,0x78c47df80591db8ffb1d7c4577cfe6394d9cf814,0x78c47df80591db8ffb1d7c4577cfe6394d9cf814,,0.88
152,0xec7a2a948bf5f7e83aaa55d2a0a79c13fc95541e,0xec7a2a948bf5f7e83aaa55d2a0a79c13fc95541e,xue99.eth,1.42
153,0x8c702a9a6e0cd14a53251c630743c4f5327edde8,0x8c702a9a6e0cd14a53251c630743c4f5327edde8,calman.eth,0.99
154,0xd07e37862b11ca2186922f1c71f61d952d2b93e8,0xd07e37862b11ca2186922f1c71f61d952d2b93e8,xiaoyisi.eth,0.87
155,0x8c67ed8021a2f1606671b7a8532dfddb4528962c,0x8c67ed8021a2f1606671b7a8532dfddb4528962c,pongtable.eth,0.83
156,0xdfafa55c52beee3548272e3c2678bdf5b65d33b4,0xdfafa55c52beee3548272e3c2678bdf5b65d33b4,,0.84
157,0x8514c6c7e29eb97879b93fd38bf55ed2639ebed1,0x8514c6c7e29eb97879b93fd38bf55ed2639ebed1,,3.09
158,0x589f8916036d9ccfb9d04b2c6819e982899ef84b,0x589f8916036d9ccfb9d04b2c6819e982899ef84b,whaleexpedition.eth,1.39
159,0x79438224bc21b0e6b45ecf9f8caadfbdb874dedd,0x79438224bc21b0e6b45ecf9f8caadfbdb874dedd,whatisbtc.eth,0.83
160,0x38123a191e9685448658d2207b0543e2fb9282cc,0x38123a191e9685448658d2207b0543e2fb9282cc,czbackhome.eth,1.74
161,0x02131a5831b2e46cfe867ad3e3344fc3edab59da,0x02131a5831b2e46cfe867ad3e3344fc3edab59da,btcoin10w.eth,0.91
162,0x229fd251acf90b17529f1a8fc49a6cec93da56eb,0x229fd251acf90b17529f1a8fc49a6cec93da56eb,,1.33
163,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8,bobjiang.eth,1.09
164,0x9fc9ba827f682c19bbc9c7657a424dfe2c98ee52,0x9fc9ba827f682c19bbc9c7657a424dfe2c98ee52,beiying.eth,0.93
165,0xe44358e670e5084ca16a5ea41e24d81e66a1f14a,0xe44358e670e5084ca16a5ea41e24d81e66a1f14a,bttb.eth,2.26
166,0xf84877138a1924c298632250745c91e37532d8c7,0xf84877138a1924c298632250745c91e37532d8c7,blumerdao.eth,0.86
167,0x70f7a2ca4930c19669cd71d12da9922e230905aa,0x70f7a2ca4930c19669cd71d12da9922e230905aa,,1.19
168,0xda2a387faa9f6a679875072e1a82a0059a6d34c0,0xda2a387faa9f6a679875072e1a82a0059a6d34c0,,2.48
169,0xb33edf0aba01f459b569a85ae6311ec683a20d7f,0xb33edf0aba01f459b569a85ae6311ec683a20d7f,,2.48
170,0xf3fda45764d2c162fbde6d9c9141877fd76e59e7,0xf3fda45764d2c162fbde6d9c9141877fd76e59e7,nation3er.eth,1.32
171,0x47d80912400ef8f8224531ebeb1ce8f2acf4b75a,0x47d80912400ef8f8224531ebeb1ce8f2acf4b75a,abuusama.eth,2.41
172,0xedd000b7db3cb8931d4e0cb1d0dbe6b947ceb09a,0xedd000b7db3cb8931d4e0cb1d0dbe6b947ceb09a,0xfad3.eth,4.39
173,0x57559246958078503fbc24d8e8d5b419d6cab24c,0x57559246958078503fbc24d8e8d5b419d6cab24c,purplepanda.eth,1.39
174,0x2ee8670d2b936985d5fb1ee968810c155d3bb9ca,0x2ee8670d2b936985d5fb1ee968810c155d3bb9ca,jwpe.eth,0.90
175,0xc2585a806e3c8f6ae3b79d363348ae8cad8a3b45,0xc2585a806e3c8f6ae3b79d363348ae8cad8a3b45,sebi.eth,0.96
176,0xef736f0036647a1b6828c92a9fee27a6ddc2b250,0xb85368cc6f3ae6d5ebaaec87845fe898b5f6e450,anastasiyab.eth,2.00
177,0xbe5d934bba59982f6616d4067d46c3425cc2fdd9,0xbe5d934bba59982f6616d4067d46c3425cc2fdd9,,1.01
178,0x272f1c8850df46d83b240d5d9f0dcf460980670e,0x272f1c8850df46d83b240d5d9f0dcf460980670e,malechi.eth,1.01
179,0x362b575faf3e77d5ad8cad0b7512310c39920702,0x7ec21bad87f164eb25987f95ed29baec55df3873,mr-song.eth,1.05
180,0xd89d73dffabb2d574c1854d3f836857fb043bfa3,0xd89d73dffabb2d574c1854d3f836857fb043bfa3,,3.95
181,0x42e6dd8d517abb3e4f6611ca53a8d1243c183fb0,0x42e6dd8d517abb3e4f6611ca53a8d1243c183fb0,leuts.eth,0.99
182,0xd4630e7eb57b9076a21f3d8960f9197ae737330a,0xd4630e7eb57b9076a21f3d8960f9197ae737330a,xway.eth,0.12
183,0x0ef6e547dd86de09f0e8ece1e5a9f5ccb335ade1,0x0ef6e547dd86de09f0e8ece1e5a9f5ccb335ade1,,0.00
184,0x3006ef6777ccc79c3af305101fe0b3d14bd47b59,0x3006ef6777ccc79c3af305101fe0b3d14bd47b59,capitalistarebelde.eth,1.05
185,0x869cadbd7718e1e8ddd0df2a98c04547546633d7,0x869cadbd7718e1e8ddd0df2a98c04547546633d7,,1.01
186,0x42d8219348eadce7a1a8be81f85464b85f09cd9a,0x42d8219348eadce7a1a8be81f85464b85f09cd9a,,1.25
187,0xf755556f009e1c66ca32296d6f74444f37ecf1f1,0xf755556f009e1c66ca32296d6f74444f37ecf1f1,bcool.eth,0.99
188,0x507c20ef269726b2d0b8efe9f6b75a4ddd9ef741,0x507c20ef269726b2d0b8efe9f6b75a4ddd9ef741,0xgazpacho.eth,1.04
189,0xe66dc9470db6aaed3ce50f371eca4ec0b4fa6b91,0xe66dc9470db6aaed3ce50f371eca4ec0b4fa6b91,,1.04
190,0x73371a54b6b0e8d8524d37913cd48af8d932c79b,0x73371a54b6b0e8d8524d37913cd48af8d932c79b,stefanobernardi.eth,1.06
191,0xcb678c41afc309c441af88cb61c336dcfc06bee3,0xcb678c41afc309c441af88cb61c336dcfc06bee3,,1.08
192,0xf51d8130ea567a1c5e0038d2e38e61398a3ff909,0xf51d8130ea567a1c5e0038d2e38e61398a3ff909,nation3ens.eth,1.23
193,0x24f15402c6bb870554489b2fd2049a85d75b982f,0x24f15402c6bb870554489b2fd2049a85d75b982f,chaitu.eth,1.08
194,0x15fab1cc5262d69853b1196f74d38c7fc96fc6d7,0x15fab1cc5262d69853b1196f74d38c7fc96fc6d7,promisesk.eth,1.14
195,0xe8743b76d1aaa0c259b5b91f10dc594770b6a08c,0xe8743b76d1aaa0c259b5b91f10dc594770b6a08c,pipikaka.eth,1.03
196,0x0a28c0bdbd3fe526cffc0c7332c2c45c3f347c34,0x0a28c0bdbd3fe526cffc0c7332c2c45c3f347c34,rdry.eth,1.01
197,0x529408a6962bae6ca5328874d633738116b89b05,0x529408a6962bae6ca5328874d633738116b89b05,dennisgan.eth,1.05
198,0xeba6120492c505b6211caff86c7757d1df58e8a7,0xc8496cfa7f9f9efeba1d04ddb44461bbb8662158,xen.box,2.34
199,0x6a765fa033aab42f66b306e81e690ff5339525c2,0x6a765fa033aab42f66b306e81e690ff5339525c2,zhaojiayi.eth,1.08
200,0xf987899db190759486356386fe92676bccdad18c,0xf987899db190759486356386fe92676bccdad18c,turtl3inv.eth,1.99
